type,input,output,A,B,C,D,E
pharm,"다음 사례를 읽고 각 문제에 적합한 답을 고르시오. 60세 남자가 최근 힘을 주어야 소변을 볼 수 있고, 빈뇨와 잔뇨감도 있다고 한다. 검사 결과 양성전립샘비대를 진단받았고, 합병증과 관련한 특이소견은 관찰되지 않았다.[임상검사]  전립샘 크기 27 mL (참고치 15～20 mL) . 환자는 4주 동안 처방대로 약을 복용하고 있다. 2주 전부터 밤에 자다가 소변을 보려고 깨는 횟수가 늘어 불편하다고 한다. 증상을 개선하기 위해 추가할 약물은?",Choice 5,실데나필(sildenafil),페소테로딘(fesoterodine),피나스테리드(finasteride),레보플록사신(levofloxacin),데스모프레신(desmopressin)
pharm,"다음 사례를 읽고 각 문제에 적합한 답을 고르시오. 3일 전부터 발열, 허리통증, 구토가 나타난 58세 여자가 입원하여 중증 급성신우신염으로 진단받았다. 환자는 지난 24시간 동안 1일 5회 이상의 심한 구토로 인해 아무것도 먹지 못하였다. [알레르기력]  설파메톡사졸/트리메토프림(sulfamethoxazole/trimethoprim) : 복용 후 두드러기 발생 [임상검사 결과] 소변 및 혈액 배양 검사: 검사 중 BUN 35 mg/dL,  SCr 1.3 mg/dL,  CrCl 67 mL/min 경험적 치료를 시작하고 4일 후, 증상이 호전된 환자가 퇴원하려고 한다. 퇴원 후에 복용해야 할 적절한 항생제는?",Choice 3,리네졸리드(linezolid) 경구제,독시사이클린(doxycycline) 경구제,레보플록사신(levofloxacin) 경구제,클린다마이신(clindamycin) 경구제,아지트로마이신(azithromycin) 경구제
dentist,구순구개열 환자의 치료에 대한 설명으로 옳은 것은?,Choice 4,강한 힘으로 횡적 확장을 시행한다.,조기에 수술할수록 상악골 성장에 유리하다.,구개봉합술을 위해 수술 전 비치조정형장치를 사용한다.,구개범인두부전은 악교정수술 시 상악골의 전방이동과 관련이 있다.,"구개의 수술은 생후 3개월 전후, 구순의 수술은 15개월경에 시행한다."
dentist,나비뼈(sphenoid bone)의 날개갈고리(pterygoid hamulus)를 지나는 근육을 지배하는 신경은?,Choice 1,삼차신경(trigeminal n.),얼굴신경(facial n.),혀인두신경(glossopharyngeal n.),미주신경(vagus n.),혀밑신경(hypoglossal n.)
nurse,"임신 40주 유도분만 중인 초산부가 대변을 볼 것 같다고 호소하여 사정한 결과는 다음과 같다. 우선적인 간호중재로 옳은 것은?• 자궁경부: 완전개대• 태아 심박동수: 130회/분• 자궁수축: 간격 2분, 기간 70초, 강도 중등도",Choice 5,화장실에 가도록 돕는다.,분당 8 L의 산소를 공급한다.,응급 제왕절개분만을 준비한다.,옥시토신 투여 용량을 증가한다.,아래로 힘이 주어질 때 힘을 주라고 한다.
doctor,복부대동맥(abdominal aorta) 에서 처음 분지(first branch) 되는 동맥은?,Choice 3,고유간동맥(hepatic artery proper),돌잘록창자동맥(ileocolic artery),아래창자간막동맥(inferior mesenteric artery),오른쪽 잘록창자동맥(right colic artery),구불창자동맥(sigmoid artery)
doctor,"산과력 0-0-0-0인 28세 여자가 결혼 전 검진을 위해 병원에 왔다. 월경은 규칙적이었으며,
약간의 월경통이 있었고 월경량은 정상이었다. 골반 초음파검사에서 자궁바닥(fundus) 에 5×4×4 cm
크기의 장막밑자궁근종이 관찰되었다. 처치는?",Choice 1,경과관찰,에스트로겐,근종용해술(myolysis),근종절제술(myomectomy),자궁동맥색전술(uterine artery embolization)
pharm,만성신장병이 있는 73세 남자가 알츠하이머병으로 기억력이 감소하고 정확한 용어 선택과 단어 사용에 어려움이 있다. 적절한 치료약물은?[임상검사 결과] 간이정신상태(MMSE) : 20점(경도) CrCl 35 mL/min,Choice 2,메만틴(memantine),도네페질(donepezil),올란자핀(olanzapine),노르트립틸린(nortriptyline),카르바마제핀(carbamazepine)
pharmacy,소화관을 통한 약물 흡수에 관한 설명으로 옳은 것은?,Choice 4,수송체를 매개하여 흡수되는 경우 pH-분배가설이 성립한다.,막투과도가 높은 약물은 흡수부위 혈류속도의 영향을 받지 않는다.,소화관 막표면에 존재하는 다량의 뮤신은 약물 흡수를 증가시킨다.,소화관 막표면에 존재하는 비교반수층은 지용성이 높은 약물의 흡수를 저해한다.,소장에서 흡수가 용이한 약물은 위배출시간이 길수록 최고 혈중농도도달시간이 짧아진다.
nurse,근거 없는 의심과 불신으로 적대적이고 공격적인 편집성 성격장애 환자에 대한 간호중재는?,Choice 1,중립적이고 사무적인 태도로 대한다.,환자에게 친밀하고 친근하게 접근한다.,의사소통 시 방어적인 접근을 유지한다.,의심이 있으므로 치료계획을 설명하지 않는다.,환자가 트집을 잡는 특성이 있으므로 요구사항에 모호하게 설명한다.
pharm,"다음 사례를 읽고 각 문제에 적합한 답을 고르시오. 발진을 동반한 인두염 증상을 보인 6세 소아의 병소로부터 균을 분리하였다. 이 균은 그람양성으로 염색되었고 혈액한천배지에서 베타 용혈현상을 보였다. 이 환자의 혈액에서 streptolysin O에 대한 항체가 검출되었다면, 예측할 수 있는 질환은?",Choice 5,결핵,고환염,결막염,수막염,급성사구체신염
dentist,치관의 장축이 치근의 장축에 비해 설측으로 기울어져 있기 때문에 근관와동형성 시 주의해야 하는 치아는?,Choice 4,상악 중절치,하악 측절치,상악 제1소구치,하악 제1소구치,상악 제1대구치
nurse,분만 직후 신생아의 물기를 닦아주고 젖은 머리에 모자를 씌워주는 것은 무엇에 의한 열손실을 예방하기 위함인가?,Choice 1,증발,전도,대류,복사,발한
nurse,호흡곤란이 있는 환자에게 적용할 수 있는 체위는?,Choice 2,엎드린(복와위)자세(prone position),파울러자세(Fowler position),골반내진자세(lithotomy position),무릎가슴자세(knee-chest position),트렌델렌부르크자세(Trendelenburg position)
dentist,눈확아래신경(infraorbital n.)이 손상되면 감각이상이 나타날 수 있는 부위는?,Choice 2,귓바퀴(auricle),위입술(upper lip),위눈꺼풀(upper eyelid),단단입천장(hard palate),관자부위(temporal region)
doctor,55세 남자가 하루 전부터 물체가 두 개로 보인다며 병원에 왔다. 당뇨병으로 12년 전부터 혈당강하제를 복용하고 있었다. 오른쪽 눈의 움직임은 정상이었지만 왼쪽 눈은 눈동자가 바깥쪽으로 움직이지 않았다. 마비된 신경은?,Choice 4,시각신경(optic nerve),얼굴신경(facial nerve),삼차신경(trigeminal nerve),갓돌림신경(abducens nerve),눈돌림신경(oculomotor nerve)
pharm,추락사고로 두부 외상이 발생하여 신경외과 수술을 받은 58세 남자에게 입원 중 뇌수막염이 발생하였다. 적절한 경험적 항생제(요법) 는?[약물 알레르기] 반코마이신(vancomycin) : 투약 후 아나필락시스 반응,Choice 3,세푸록심(cefuroxime),아즈트레오남(aztreonam),리네졸리드(linezolid) + 세페핌(cefepime),답토마이신(daptomycin) + 세폭시틴(cefoxitin),암피실린(ampicillin) + 세프타지딤(ceftazidime)
doctor,"11개월 남아가 2일 전부터 고열과 구토가 있어 병원에 왔다. 체온은 39.5℃이었고 많이 보챘으며
피부에 출혈점이 있었다. 뇌척수액검사 결과는 다음과 같다. 초기 경험적 치료는?
백혈구 1,200/mm^3 (중성구 95%), 단백질 210 mg/dL,  포도당 15 mg/dL, ",Choice 5,페니실린,암피실린 + 겐타마이신,반코마이신 + 겐타마이신,세프트리악손 + 리팜피신,반코마이신 + 세프트리악손
dentist,"11번 염색체에 위치한 cathepsin C 유전자의 돌연변이에 의하여 발생하는 상염색체 열성장애로, 과각화증과 파괴적 치주질환이 특징인 증후군은?",Choice 5,다운증후군,킨들러증후군,태아알코올증후군,Ehlers-Danlos 증후군,Papillon-Lefèvre 증후군
doctor,"18세 남자가 3일 전부터 불안해서 잠을 잘 수가 없다며 병원에 왔다. 10개월 전에 같은 반 여학생들끼리 이야기를 하면서 웃는 것을 보고, 자신이 중학교 3학년 때에 음란물을 본 것을 알고 웃는다는 생각이 들어 그 후로는 여학생들을 의식적으로 피하고 있다. 1개월 전부터 이웃 사람들이 자신을 변태라고 욕하고 비웃는 소리가 들리고, 모든 학생들이 자신을 변태로 알고 있다며 학교에 가지 않았다. 진단은?",Choice 1,조현병,망상장애,조현형장애,조현정동장애,단기정신병적장애
dentist,아말감의 크립(creep) 시험 결과를 그래프로 그릴 때 X축-Y축으로 적절한 것은?,Choice 1,시간-변형률,변형률-온도,온도-습도,습도-변형률,응력-반복횟수
doctor,"23세 미혼 여자가 6개월 동안 월경이 없어서 병원에 왔다. 평소 월경은 1년에 3～4회 정도 있었다.키 162 cm, 몸무게는 73 kg이며 얼굴에 여드름이 있었다. 혈액검사 결과는 다음과 같았다. 소변임신반응검사는 음성이었다. 처치는?갑상샘자극호르몬 3.45 mIU/L (참고치, 0.34～4.25) 프로락틴 24 ng/mL (참고치, <25) 황체형성호르몬 13.8 U/L (참고치, 5～20) 난포자극호르몬 5.5 U/L (참고치, 5～20) 에스트라디올 42.0 pg/mL (참고치, 10～200) 총테스토스테론 70.0 ng/dL (참고치, 15～75) ",Choice 3,다나졸,에스트로겐,프로게스테론,도파민길항제,황체형성호르몬
pharm,"선형 1-컴파트먼트 모델을 따르는 어떤 약물을 4시간 동안 정맥 등속주입하고 중단하였다. 그 후 4시간이 더 경과하였을 때 혈중농도는? (단, 약물의 혈중소실반감기는 4시간이고, 정상상태혈중농도는 Css이다.) ",Choice 2,0,0.25Css,0.50Css,0.75Css,Css
nurse,「후천성면역결핍증 예방법」상 후천성면역결핍증 검진 대상자는?,Choice 2,감염인의 자녀,감염인의 배우자,검진 결과 통보자,감염인의 담당 간호사,검사 음성 확인서 소지자
doctor,‘군’ 지역에 소재한 ‘A’ 병원이 관할지역 내 응급환자를 진료하기 위해 지역응급의료기관으로 지정받고자 한다. 지역응급의료기관 지정신청서는 누구에게 제출하여야 하는가?,Choice 1,군수,도지사,응급의료지원센터장,권역응급의료센터장,국민건강보험공단 지사장
doctor,오존경보가 발령되었을 때 천식으로 치료 중인 환자에게 오존 노출을 줄이기 위해 할 수 있는 적절한 권고는?,Choice 3,마스크 착용,손 자주 씻기,야외활동 자제,충분한 수분 섭취,천식 치료약의 용량 증가
dentist,"「국민건강보험법」상 요양급여를 결정함에 있어 경제성 또는 치료효과성 등이 불확실하여 그 검증을 위하여 추가적인 근거가 필요하거나, 경제성이 낮아도 가입자나 피부양자의 건강회복에 잠재적 이득이 있는 경우에 지정할 수 있는 예비적인 요양급여는?",Choice 3,요양비,임의급여,선별급여,상병수당,부가급여
pharm,"이식거부반응을 치료할 때, 보체의 활성화 또는 옵소닌화를 이용하여 동종반응성(alloreactive) T 세포를 제거하기 위해 사용되는 것은?",Choice 1,anti- CD3 antibody,anti- CD40 antibody,라파마이신(rapamycin),시클로스포린(cyclosporin),CTLA- 4 면역글로불린(CTLA- 4 Ig)
pharm,"아린 맛이 있고, 생강이나 백반으로 법제하면 자극성이 없어지며 진토제로 사용하는 생약은?",Choice 5,Allii Bulbus,Corydalis Tuber,Lilii Bulbus,Liriopis seu Ophiopogonis Tuber,Pinelliae Tuber
pharm,"수지상세포가 항원펩티드를 제시할 때, T세포 표면에서 발현되는 공동자극수용체(costimulatory receptor) 는?",Choice 4,CD4,CD8,CD25,CD28,CD40
dentist,"SGOT(AST), SGPT(ALT), 혈청빌리루빈, 젖산탈수소효소(LDH)가 증가한 소견을 보이는 33세 남자의 치과치료 시 유의할 사항은?",Choice 1,지혈이 잘 안될 수 있으므로 혈액 응고시간을 확인한다.,감염성 심내막염의 위험이 있으므로 예방적 항생제 요법을 실시한다.,기회감염이 나타날 수 있으므로 항진균제나 항바이러스제를 사용한다.,스트레스와 불안을 감소시키기 위해 치료 전에 스테로이드를 투여한다.,"오전 중에 약속하고, 완전히 누운 자세보다는 반 정도 누운 자세나 앉은 자세에서 치료를 시행한다."
doctor,"46세 여자가 '만사가 귀찮고 무기력하다'며 왔다. 4년 전부터 매년 겨울이 되면 별다른 이유 없이 이러한 느낌과 우울감, 불면 등이 반복되었다. 치료는?",Choice 1,광치료,미주신경자극,약물이용면담,전기경련요법,두개경유자기자극술(transcranial magnetic stimulation)
dentist,타액의 특성 중 치아우식이 발생할 가능성이 큰 경우는?,Choice 3,분비량이 많다.,완충능이 크다.,점조도가 높다.,항균작용이 크다.,분비성 당질 함량이 낮다.
doctor,"5세 여아가 2일 전부터 선홍색의 소변이 나와서 병원에 왔다. 소변을 볼 때 아프다고 하였고, 배뇨 끝에 빨간 소변이 떨어졌다고 하였다. 혈압 100/60 mmHg, 체온 38.2℃이었다. 옆구리 타진 시 통증은 없으나, 배꼽 아래 부분을 누르면 아파했다. 다리에 오목부종은 없었다. 검사 결과는 다음과 같았다. 진단은?혈액: 혈색소 11.5 g/dL, 백혈구 12,500/mm^3 혈소판 350,000/mm^3 혈액요소질소/크레아티닌 15/0.4 mg/dL, C-반응단백질 35 mg/L (참고치, <10) 항사슬알균용혈소 O 80 Todd 단위(참고치, 120～160) C3 125 mg/dL (참고치, 77～195) 소변: 비중 1.015, 포도당 (-), 단백질 (-), 아질산염 (-) 적혈구 >100/고배율시야, 백혈구 30～49/고배율시야 적혈구 원주 (-), 위상차 현미경에서 동형적혈구 95% 단회 칼슘/크레아티닌 0.15 mg/mg (참고치, ≤0.22) ",Choice 2,콩팥돌,급성출혈방광염,특발고칼슘뇨증,면역글로불린 A 콩팥병증,사슬알균감염후급성토리콩팥염
doctor,"64세 남자가 2주 전부터 양쪽 발이 부어서 병원에 왔다. 10년 전부터 고혈압으로 치료제를 복용하고 있었다. 혈압 150/90 mmHg, 맥박 72회/분, 호흡 20회/분, 체온 36.5℃였다. 양쪽 정강뼈앞오목부종이 있었다. 소변에서 확인해야 할 항목은?",Choice 2,케톤,알부민,포도당,아질산염,백혈구원주
doctor,"35세 여자가 공복, 특히 새벽에 반복적으로 발생하는 배고픔, 두근거림과 땀남 때문에 병원에 왔다.음식을 섭취하면 이런 증상들은 약간 좋아졌다. 최근 1년 동안 체중이 3 kg 늘었다. 키 166 cm,체중 60 kg, 혈압 110/75 mmHg 이었다. 증상이 나타났을 때 시행한 혈액검사 결과는 다음과 같았다.원인은?포도당 42 mg/dL,  인슐린 21.5 μU/mL (참고치, 2～20),C-펩티드 3.8 ng/L (참고치, 0.8～3.5) ",Choice 1,인슐린종,알코올중독,반응저혈당증,갑상샘항진증,비베타세포종양
doctor,"64세 여자가 2일 전부터 갑자기 소변량이 줄어서 응급실에 왔다. 5일 전부터 왼쪽 옆구리 통증이
있었으며, 피곤하고 입맛이 없었다. 혈압 130/80 mmHg, 피부 긴장도는 정상이었다. 혈액 및
소변검사 결과는 다음과 같다. 도뇨관 삽입 후 소변이 50 mL 나왔다. 초음파에서 오른쪽 콩팥
크기는 5.7 cm이었고, 왼쪽 콩팥 크기는 12 cm로 심한 물콩팥증(hydronephrosis) 이 관찰되었다.
치료는?
혈액 : 혈액요소질소/크레아티닌 36/5.0 mg/dL,  Na + 140 meq/L  
소변 : 잠혈(+), 단백질(±), 적혈구 3~4/고배율시야, 백혈구 3~4/고배율시야
크레아티닌 100 mg/dL,  Na + 70 meq/L  ",Choice 5,이뇨제 투여,항생제 투여,0.9% 식염수 투여,저용량 도파민 투여,콩팥창냄술(nephrostomy)
doctor,"35세 남자가 다리에 힘이 없다며 병원에 왔다. 5년 전 고혈압을 진단받았다. 칼슘통로차단제와앤지오텐신전환효소억제제를 복용하였으나 혈압이 잘 조절되지 않았다. 키 165 cm, 체중 70 kg,혈압 160/120 mmHg 이었다. 검사 결과는 다음과 같았다. 필요한 검사는?혈액: Na +/K+/Cl- 140/3.0/105 meq/L, 크레아티닌 1.2 mg/dL, 소변: 칼륨 55 meq/24시간",Choice 4,혈청 코티솔,혈청 부갑상샘호르몬,24시간 소변 메타네프린,혈장알도스테론/혈장레닌활성도,혈청 뇌나트륨이뇨펩티드(brain natriuretic peptide)
pharm,「국민건강증진법」상 국민의 금연을 위하여 시행하는 정책에 해당하지 않는 것은?,Choice 3,금연구역의 지정,가향물질 함유 표시 제한,흡연자를 위한 흡연실 설치 금지,담배자동판매기에 성인인증장치 부착,담배갑포장지에 흡연의 폐해를 나타내는 내용의 경고그림 표시
nurse,보건소에서 고위험음주율을 낮추기 위한 사업을 운영한 후 효율성을 평가하기 위한 질문은?,Choice 5,사업에 투입된 인력은 충분한가?,사업을 진행한 후 고위험음주율이 얼마나 낮아졌는가?,고위험음주율을 낮추는 데 영향을 준 요인은 무엇인가?,사업은 고위험음주율을 낮추기 위한 방법으로 적합한가?,고위험음주율을 낮추어 얻은 이익이 사업운영비보다 큰가?
pharmacy,협심증과 조절되지 않는 고혈압이 있는 55세 여자가 경증의 편두통으로 약물을 복용할 예정이다. 편두통 치료약물로 적절한 것은?,Choice 1,나프록센(naproxen),졸미트립탄(zolmitriptan),덱사메타손(dexamethasone),메토클로프라미드(metoclopramide),에르고타민/카페인(ergotamine/caffeine)
doctor,"62세 남자가 다리가 마비되어 병원에 왔다. 1주일 전부터 다리에 힘이 점차로 빠져 계단을 오르기 힘들었다고 한다. 5년 전부터 고혈압으로 치료을 받고 있었다. 1달 전에 혈압조절이 잘되지 않아서 티아지드계 이뇨제를 추가 처방받았고 2 kg의 체중감소가 있었다. 혈압 150/100 mmHg, 맥박 60회/분, 호흡 18회/분, 체온 36.5°C였다. 검사 결과는 다음과 같았다. 산염기 평형상태는?혈액: 혈액요소질소/크레아티닌 12/0.8 mg/dL, Na +/K+/Cl- 136/2.8/90 meq/L  동맥혈(대기호흡) : pH 7.46, PaCO2 45 mmHg PaO2 78 mmHg, HCO3- 32 meq/L  ",Choice 4,정상 상태,대사산증,호흡산증,대사알칼리증,호흡알칼리증
dentist,결핍 시 악성빈혈이 유발되는 비타민은?,Choice 4,나이아신(niacin),바이오틴(biotin),싸이아민(thiamine),코발라민(cobalamin),리보플라빈(riboflavin)
dentist,"Freud 이론의 잠복기에 해당되는 시기로, Erikson의 심리 사회적 단계의 양극개념은?",Choice 2,친밀성 대 고립감,근면성 대 열등감,주도성 대 죄책감,생산성 대 침체성,자아정체성 대 역할혼란
doctor,"55세 남자가 어깨에 따끔거리면서 저린 듯한 통증이 심해져 응급실에 왔다. 비소세포폐암이어깨뼈에 전이되어 방사선치료를 받아 왔다. 2주 전부터 옥시코돈(oxycodone) 서방정 60 mg 하루2회, 아세트아미노펜 1,000 mg 하루 3회 복용하였으나 증상이 심해졌다. 옥시코돈을 더 많이 복용하였으나 효과는 없었다. 뼈 X선 사진에서 골절은 보이지 않았다. 적합한 약제는?",Choice 4,코데인(codeine),모르핀(morphine),트라마돌(tramadol),가바펜틴(gabapentin),펜타닐(fentanyl) 패취
doctor,"14세 남아가 사춘기 징후가 보이지 않는다며 병원에 왔다. 키 157cm (10~25백분위수), 체중45kg(10~25백분위수)이다. 부모의 키는 아버지 178cm, 어머니 161 cm이다. 진찰에서 고환 크기는 양쪽 모두 4mL이고 음모는 성성숙도 I기이다. 여성형 유방은 없다. 뼈나이는 12세이다. 혈액검사 결과는 다음과 같다. 치료는?
테스토스테론 14ng/dL(참고치, 사춘기 전 <10, 성인남자 230~865)
생식샘자극호르몬방출호르몬 자극검사:
기저 황체형성호르몬 0.3 mIU/mL
최고점 황체형성호르몬 6.2 mIU/mL
(참고치, 사춘기 전 <0.5, 성인남자 1.0 ~10.0)
기저 난포자극호르몬 <1.0 mIU/mL
최고점 난포자극호르몬 5.5 mIU/mL
(참고치, 사춘기 전 0.4~1.6, 성인남자 1.0~7.0)
프로락틴 11 ng/mL (참고치, 2.5~17)
갑상샘자극호르몬 2.0 mIU/L (참고치, 0.5 ~ 4.5)
유리 T4 1.2 ng/dL (참고치, 0.7~2.0)",Choice 1,경과관찰,성장호르몬 피하주사,남성호르몬 근육주사,글루코코티코이드 경구투여,생식샘자극호르몬방출호르몬작용제 피하주사
doctor,"임신 나이 32주, 출생체중 1,250 g으로 태어난 신생아가 출생 직후 호흡곤란으로 환기치료를 받다가, 생후 이틀째부터는 기관내관을 제거하고 산소투여만으로 안정적인 자발호흡이 가능하였다. 구토는 없었고, 태변을 두 차례 보았다. 복부청진에서 장음은 정상이었다. 적합한 모유 영양 방법은?",Choice 3,젖을 물린다.,젖병으로 준다.,코위관으로 준다.,숟가락으로 떠 먹인다.,생후 2주까지 연기한다.
doctor,"63세 여자가 5일 전부터 설사를 해서 왔다. 하루 5 차례 물설사를 하지만 혈변은 없다고 하였다. 열이 나면서 온몸이 쑤시듯이 아팠다. 혈압 110/65 mmHg, 맥박 96회/분, 호흡 18회/분, 체온 38.0℃였다. 복부 청진에서 장음은 증가되었고 전체적으로 압통이 있었다. 혈액검사 결과는 다음과 같았다. 치료는?백혈구 2,990/mm^3 (중성구 34%) 혈색소 11.1 g/dL,혈소판 159,000/mm^3 혈액요소질소 19 mg/dL, 크레아티닌 1.1 mg/dL, 아스파르테이트아미노전달효소 82 U/L 알라닌아미노전달효소 74 U/L C-반응단백질 27.8 mg/dL (참고치, <10) 혈액배양검사 중간보고: 그람음성 막대균",Choice 4,리팜핀(rifampin),페니실린 G,메트로니다졸(metronidazole),세프트리악손(ceftriaxone),클린다마이신(clindamycin)
dentist,치은연하변연으로 제작된 상악 전치부 전부도재관을 레진시멘트로 최종접착하였다. 지대치 치수와 치주조직의 회복을 확인하기 위한 최초 검진시기는?,Choice 1,2주,12주,24주,9개월,12개월
nurse,"논리모형에 근거하여 근로자 대상 근골격계 관리프로그램을 계획 시 참가자 수, 상담 횟수와 의료기관 연계 건수를 평가하고자 한다. 이는 어느 평가유형에 해당하는가?",Choice 3,투입평가,영향평가,산출평가,구조평가,결과평가
dentist,etch-and-rinse 접착시스템에서 산부식에 관한 설명으로 옳은 것은?,Choice 1,무소주법랑층은 산부식 저항성이 높다.,상아질에 먼저 도포한 후 법랑질에 도포한다.,산부식제 종류는 법랑질 결합강도와 관계없다.,시간이 증가할수록 법랑질 결합강도가 증가한다.,산부식제 세척 후 상아질면을 완전히 건조시킨다.
pharm,흑색질의 도파민성 신경세포 내에 축적되어 신경세포의 소실을 야기하여 운동능력의 현저한 감소와 치매의 원인이 되는 단백질은?,Choice 5,신트로핀(syntrophin),디스트로핀(dystrophin),사르코글리칸(sarcoglycan),디스트로글리칸(dystroglycan),알파- 시뉴클레인(α- synuclein)
doctor,"59세 여자가 2일 전부터 윗배가 아프고 열이 난다며 병원에 왔다. 구토를 하며 소변색이 진하다고 한다. 혈압 90/50 mmHg, 맥박 102회/분, 호흡 20회/분, 체온 38.9℃이다. 공막에 황달이 있다. 오른쪽 윗배에 압통이 있다. 혈액검사 결과는 다음과 같다. 복부 컴퓨터단층촬영 사진이다. 치료는?백혈구 16,500/mm^3, 혈색소 12 g/dL, 혈소판 90,000/mm^3 총빌리루빈 6.5 mg/dL,  직접빌리루빈 4.7 mg/dL, 아스파르테이트아미노전달효소 331 U/L 알라닌아미노전달효소 190 U/L 아밀라아제 240 U/L, 리파제 160 U/L ",Choice 5,탐색개복술,체외충격파쇄석술,복강경 쓸개절제술,피부간경유쓸개배액술,내시경코쓸개길배액술
dentist,장기 연성의치이장재에 대한 설명으로 옳은 것은?,Choice 5,영구적으로 사용할 수 있다.,연성과 탄성에 따라 5단계로 분류된다.,실리콘 이장재는 차아염소산염 성분의 의치세정제로 세척하여야 손상되지 않는다.,가소제를 첨가한 아크릴릭 레진 이장재는 구강 환경에서 점점 물렁해진다.,가소제를 첨가한 아크릴릭 레진 이장재의 찢김강도가 실리콘 이장재보다 크다.
doctor,"33세 산과력 0-0-0-0인 여자가 임신이 안 되어서 병원에 왔다. 월경주기는 정상이었으나 2년 전부터 월경통이 심해졌다. 골반검사에서 자궁은 후굴되어 움직이지 않는다. 골반초음파검사에서 자궁부속기에 종괴는 없다. 혈액검사와 배우자의 정액검사 결과는 다음과 같다. 자궁난관조영과 복강경검사 복막 사진이다. 불임의 원인은?혈액: 난포자극호르몬7.5 mIU/mL (참고치, 3.0～20.0) 황체형성호르몬5.2 mIU/mL (참고치, 2.0～15.0) 에스트라디올23 pg/mL (참고치, 20～145) 갑상샘자극호르몬1.8 mIU/L (참고치, 0.34～4.25) 프로락틴6.0 ng/mL (참고치, 1.9～25) 총테스토스테론30 ng/dL (참고치, 20～80) 정액: 정액량3.0 mL (참고치, ≥1.5) 정자수25x10^6/mL (참고치, ≥15x10^6) 운동성64% (참고치, ≥32) 정상형태정자8% (참고치, ≥4) ",Choice 3,희소정자증,만성무배란,자궁내막증,자궁내막유착,다낭난소증후군
dentist,「의료법」상 치과의사의 결격사유는?,Choice 2,파산선고자,대마 중독자,개인회생 해당자,자동차사고로 인하여 금고형을 받은 자,허위로 진료비를 청구하여 벌금형을 받은 자
pharm,퇴장방지의약품으로 지정될 수 있는 것은?,Choice 5,고가의 희귀의약품,한국희귀 ∙ 필수의약품센터가 공급하는 자가치료용 의약품,건강보험 청구액이 높고 매년 사용량이 증가하는 의약품,국가비상상황을 대비하기 위해 필수적으로 비축 ∙ 공급해야 하는 의약품,저가이면서 고가의 타 약제를 대체하는 효과가 있어 비용- 효과적인 측면에서 관리가 필요한 의약품
pharmacy,체계적 문헌고찰에서 문헌검색의 특이도(specificity)를 높이는 방법은?,Choice 4,절단검색어 사용,포괄적 검색어 사용,OR 불리언연산자 사용,검색제한 필터(filter) 사용,유의어 또는 대안어를 검색식에 포함
pharmacy,대한민국약전 수재 '에탄올'은 에탄올 95.1~96.9 vol%를 함유한다. 에탄올 함량을 측정하는 방법은?,Choice 1,비중측정법,점도측정법,선광도측정법,증발잔류물측정법,자외가시부흡광도측정법
pharm,"다음에서 설명하는 바이러스는?• DNA를 유전체로 가짐• 신경세포에 감염된 후 잠복기에 들어갈 수 있음• 항원성과 병변 위치에 따라 1형과 2형의 두 종류가 존재함• 치료에는 아시클로버(acyclovir), 발라시클로비르(valacyclovir) 등을 사용함",Choice 5,풍진바이러스(rubella virus),천연두바이러스(smallpox virus),폴리오마바이러스(polyomavirus),인유두종바이러스(human papillomavirus),단순헤르페스바이러스(herpes simplex virus)
doctor,"25세 남자가 7일 전부터 피곤하고 쉽게 멍이 들어서 병원에 왔다. 입안 점막과 다리에 점출혈이있었다. 혈압 120/80 mmHg, 맥박 70회/분, 호흡 14회/분, 체온 36.8℃였다. 검사 결과는 다음과같았다. 조치는?혈액: 혈색소 9.0 g/dL, 백혈구 125,000/mm^3 (중성구 18%, 림프구 25%, 단핵구 12%, 호산구 3%,호염기구 2%, 미성숙세포 40%), 혈소판 5,000/mm^3,프로트롬빈시간 13.7초(참고치, 12.7～15.4),활성화부분트롬보플라스틴시간 34.3초(참고치, 26.3～39.4),말초혈액펴바른표본: 아우어막대(Auer rod) 가 모여 있는 미성숙 백혈구",Choice 3,비타민 K,반코마이신,혈소판 수혈,농축적혈구 수혈,신선냉동혈장 수혈
pharm,"다음 사례를 읽고 각 문제에 적합한 답을 고르시오. 혈변을 동반하지 않는 심한 물설사(watery diarrhea) 로 입원한 환자에게 우선적으로 수분과 전해질을 보충하였다. 설사 샘플로부터 균을 분리하여 동정한 결과, 콤마 형태의 단편모 그람음성균으로 확인되었다. 이 균에 의한 심한 물설사의 원인 기전은?",Choice 5,streptolysin 생산,소장 연동운동 저하,적혈구 용혈독소 생산,시가독소(Shiga toxin) 생산,장 상피세포에서 cAMP 증가
dentist,총의치 치료 전 무치악 환자에게 시행하는 파노라마방사선 검사의 주된 평가 목적은?,Choice 4,기존 병력,점막의 상태,연대기적 연령,점막하 조직의 상태,악간관계의 전후위치
